name	taxonomy_id	taxonomy_lvl	14_class.bracken_num	14_class.bracken_frac	17_class.bracken_num	17_class.bracken_frac	19_class.bracken_num	19_class.bracken_frac	20_class.bracken_num	20_class.bracken_frac	2126_class.bracken_num	2126_class.bracken_frac	22a_class.bracken_num	22a_class.bracken_frac	22b_class.bracken_num	22b_class.bracken_frac	25_class.bracken_num	25_class.bracken_frac	2621_class.bracken_num	2621_class.bracken_frac	27_class.bracken_num	27_class.bracken_frac	Stan_class.bracken_num	Stan_class.bracken_frac
Nitrospira	203693	C	701	0.00003	2493	0.00012	642	0.00003	1162	0.00003	383	0.00004	239	0.00003	499	0.00002	731	0.00005	807	0.00005	907	0.00007	436	0.00004
Endomicrobia	447830	C	350	0.00001	378	0.00002	119	0.00001	411	0.00001	104	0.00001	120	0.00001	326	0.00002	237	0.00002	209	0.00001	267	0.00002	117	0.00001
Elusimicrobia	641853	C	73	0.00000	230	0.00001	95	0.00000	222	0.00001	102	0.00001	62	0.00001	166	0.00001	46	0.00000	238	0.00002	128	0.00001	78	0.00001
Thermodesulfobacteria	67799	C	421	0.00002	1076	0.00005	305	0.00001	615	0.00002	121	0.00001	139	0.00002	370	0.00002	322	0.00002	458	0.00003	278	0.00002	245	0.00002
Dictyoglomia	203486	C	263	0.00001	264	0.00001	113	0.00001	309	0.00001	78	0.00001	118	0.00001	296	0.00001	166	0.00001	144	0.00001	193	0.00001	93	0.00001
Candidatus Saccharimonia	2093818	C	205	0.00001	274	0.00001	234	0.00001	123	0.00000	77	0.00001	49	0.00001	71	0.00000	138	0.00001	131	0.00001	179	0.00001	114	0.00001
Candidatus Babeliae	2497643	C	49	0.00000	102	0.00000	20	0.00000	47	0.00000	3	0.00000	14	0.00000	23	0.00000	89	0.00001	17	0.00000	14	0.00000	15	0.00000
Calditrichae	1962850	C	101	0.00000	399	0.00002	166	0.00001	178	0.00001	100	0.00001	65	0.00001	272	0.00001	151	0.00001	152	0.00001	106	0.00001	101	0.00001
Chrysiogenetes	118001	C	70	0.00000	758	0.00003	120	0.00001	157	0.00000	53	0.00001	16	0.00000	37	0.00000	52	0.00000	158	0.00001	87	0.00001	84	0.00001
Caldisericia	693071	C	32	0.00000	183	0.00001	41	0.00000	67	0.00000	24	0.00000	9	0.00000	28	0.00000	64	0.00000	131	0.00001	38	0.00000	28	0.00000
Coprothermobacteria	2138243	C	81	0.00000	347	0.00002	30	0.00000	54	0.00000	21	0.00000	10	0.00000	34	0.00000	32	0.00000	69	0.00000	39	0.00000	12	0.00000
Mammalia	40674	C	24156	0.00098	31877	0.00147	13597	0.00063	31289	0.00092	8650	0.00099	7383	0.00087	19686	0.00096	16498	0.00111	18127	0.00122	15888	0.00123	10491	0.00103
Methanomicrobia	224756	C	3133	0.00013	4633	0.00021	1963	0.00009	3525	0.00010	1273	0.00015	903	0.00011	2605	0.00013	2319	0.00016	2258	0.00015	1565	0.00012	1061	0.00010
Halobacteria	183963	C	1037	0.00004	7889	0.00036	2832	0.00013	3425	0.00010	938	0.00011	542	0.00006	1524	0.00007	795	0.00005	2687	0.00018	1657	0.00013	1103	0.00011
Methanobacteria	183925	C	1147	0.00005	1101367	0.05083	600	0.00003	1593	0.00005	473	0.00005	548	0.00006	1310	0.00006	1040	0.00007	793	0.00005	447301	0.03457	65893	0.00649
Methanococci	183939	C	630	0.00003	963	0.00004	336	0.00002	856	0.00003	302	0.00003	296	0.00003	726	0.00004	586	0.00004	633	0.00004	428	0.00003	311	0.00003
Thermococci	183968	C	560	0.00002	1733	0.00008	730	0.00003	837	0.00002	202	0.00002	344	0.00004	781	0.00004	512	0.00003	743	0.00005	683	0.00005	359	0.00004
Thermoplasmata	183967	C	307	0.00001	35390	0.00163	210	0.00001	689	0.00002	187	0.00002	134	0.00002	302	0.00001	267	0.00002	435	0.00003	348	0.00003	431	0.00004
Archaeoglobi	183980	C	307	0.00001	222	0.00001	121	0.00001	316	0.00001	43	0.00000	102	0.00001	252	0.00001	178	0.00001	245	0.00002	158	0.00001	72	0.00001
Methanopyri	183988	C	39	0.00000	52	0.00000	23	0.00000	19	0.00000	29	0.00000	12	0.00000	23	0.00000	64	0.00000	51	0.00000	7	0.00000	12	0.00000
Thermoprotei	183924	C	802	0.00003	1439	0.00007	595	0.00003	1196	0.00004	325	0.00004	363	0.00004	785	0.00004	681	0.00005	805	0.00005	614	0.00005	412	0.00004
Nitrososphaeria	1643678	C	177	0.00001	682	0.00003	78	0.00000	232	0.00001	53	0.00001	69	0.00001	198	0.00001	129	0.00001	95	0.00001	192	0.00001	75	0.00001
Caudoviricetes	2731619	C	16894	0.00068	9146	0.00042	22163	0.00103	115831	0.00339	31324	0.00357	1716	0.00020	4176	0.00020	2769	0.00019	12644	0.00085	254732	0.01969	8823	0.00087
Herviviricetes	2731363	C	27	0.00000	128	0.00001	24	0.00000	34	0.00000	3	0.00000	4	0.00000	21	0.00000	8	0.00000	13	0.00000	7	0.00000	14	0.00000
Alsuviricetes	2732461	C	45	0.00000	32	0.00000	17	0.00000	64	0.00000	8	0.00000	4	0.00000	14	0.00000	32	0.00000	20	0.00000	9	0.00000	6	0.00000
Flasuviricetes	2732462	C	5	0.00000	8	0.00000	2	0.00000	8	0.00000	2	0.00000	5	0.00000	5	0.00000	0	0.00000	14	0.00000	2	0.00000	4	0.00000
Ellioviricetes	2497576	C	10	0.00000	24	0.00000	8	0.00000	8	0.00000	0	0.00000	1	0.00000	3	0.00000	9	0.00000	3	0.00000	8	0.00000	2	0.00000
Monjiviricetes	2497574	C	6	0.00000	3	0.00000	14	0.00000	6	0.00000	2	0.00000	5	0.00000	10	0.00000	1	0.00000	2	0.00000	5	0.00000	0	0.00000
Pisoniviricetes	2732506	C	17	0.00000	49	0.00000	0	0.00000	129	0.00000	9	0.00000	3	0.00000	7	0.00000	78	0.00001	9	0.00000	8	0.00000	3	0.00000
Revtraviricetes	2732514	C	14	0.00000	0	0.00000	0	0.00000	1	0.00000	29	0.00000	5	0.00000	5	0.00000	0	0.00000	56	0.00000	68	0.00001	55	0.00001
