name	taxonomy_id	taxonomy_lvl	14_genus.bracken_num	14_genus.bracken_frac	17_genus.bracken_num	17_genus.bracken_frac	19_genus.bracken_num	19_genus.bracken_frac	20_genus.bracken_num	20_genus.bracken_frac	2126_genus.bracken_num	2126_genus.bracken_frac	22a_genus.bracken_num	22a_genus.bracken_frac	22b_genus.bracken_num	22b_genus.bracken_frac	25_genus.bracken_num	25_genus.bracken_frac	2621_genus.bracken_num	2621_genus.bracken_frac	27_genus.bracken_num	27_genus.bracken_frac	Stan_genus.bracken_num	Stan_genus.bracken_frac
Dehalobacter	56112	G	1778	0.00007	4130	0.00019	1394	0.00006	2143	0.00006	849	0.00010	779	0.00009	1775	0.00009	1614	0.00011	1852	0.00013	1506	0.00012	807	0.00008
Desulfitobacterium	36853	G	1552	0.00006	4595	0.00021	1488	0.00007	2717	0.00008	849	0.00010	684	0.00008	1662	0.00008	1830	0.00012	2029	0.00014	1810	0.00014	1008	0.00010
Desulfotomaculum	1562	G	1550	0.00006	3569	0.00016	1177	0.00005	1698	0.00005	608	0.00007	405	0.00005	970	0.00005	1394	0.00009	1306	0.00009	1222	0.00009	667	0.00007
Desulfallas	2282740	G	982	0.00004	1414	0.00007	654	0.00003	1043	0.00003	370	0.00004	329	0.00004	685	0.00003	661	0.00004	666	0.00004	646	0.00005	338	0.00003
Dehalobacterium	51514	G	683	0.00003	2908	0.00013	622	0.00003	940	0.00003	466	0.00005	366	0.00004	855	0.00004	651	0.00004	1018	0.00007	850	0.00007	473	0.00005
Thermoanaerosceptrum	2651578	G	412	0.00002	1139	0.00005	307	0.00001	559	0.00002	147	0.00002	198	0.00002	495	0.00002	324	0.00002	464	0.00003	252	0.00002	182	0.00002
Thermincola	278993	G	393	0.00002	850	0.00004	256	0.00001	696	0.00002	147	0.00002	163	0.00002	398	0.00002	339	0.00002	331	0.00002	447	0.00003	166	0.00002
Desulfofarcimen	2282742	G	276	0.00001	885	0.00004	163	0.00001	368	0.00001	130	0.00001	145	0.00002	305	0.00001	368	0.00002	331	0.00002	304	0.00002	158	0.00002
Syntrophobotulus	51196	G	268	0.00001	1321	0.00006	408	0.00002	407	0.00001	216	0.00002	277	0.00003	583	0.00003	363	0.00002	640	0.00004	399	0.00003	277	0.00003
Candidatus Desulforudis	471826	G	243	0.00001	1139	0.00005	220	0.00001	291	0.00001	93	0.00001	51	0.00001	134	0.00001	121	0.00001	277	0.00002	2780	0.00021	163	0.00002
Petrocella	2603323	G	2195	0.00009	2200	0.00010	1325	0.00006	2448	0.00007	760	0.00009	1838	0.00022	3936	0.00019	2422	0.00016	1768	0.00012	1024	0.00008	685	0.00007
Candidatus Syntrophocurvum	2293313	G	255	0.00001	515	0.00002	95	0.00000	258	0.00001	59	0.00001	121	0.00001	312	0.00002	180	0.00001	240	0.00002	130	0.00001	119	0.00001
Syntrophomonas	862	G	231	0.00001	807	0.00004	223	0.00001	482	0.00001	97	0.00001	67	0.00001	136	0.00001	241	0.00002	263	0.00002	144	0.00001	158	0.00002
Syntrophothermus	129001	G	106	0.00000	389	0.00002	111	0.00001	302	0.00001	59	0.00001	49	0.00001	145	0.00001	78	0.00001	229	0.00002	105	0.00001	88	0.00001
Heliobacterium	2697	G	339	0.00001	3034	0.00014	824	0.00004	690	0.00002	231	0.00003	307	0.00004	851	0.00004	594	0.00004	799	0.00005	635	0.00005	350	0.00003
Heliorestis	79598	G	260	0.00001	611	0.00003	268	0.00001	353	0.00001	130	0.00001	147	0.00002	329	0.00002	255	0.00002	431	0.00003	249	0.00002	202	0.00002
Symbiobacterium	2733	G	280	0.00001	2623	0.00012	553	0.00003	735	0.00002	262	0.00003	174	0.00002	344	0.00002	201	0.00001	552	0.00004	662	0.00005	328	0.00003
