name	taxonomy_id	taxonomy_lvl	14_family.bracken_num	14_family.bracken_frac	17_family.bracken_num	17_family.bracken_frac	19_family.bracken_num	19_family.bracken_frac	20_family.bracken_num	20_family.bracken_frac	2126_family.bracken_num	2126_family.bracken_frac	22a_family.bracken_num	22a_family.bracken_frac	22b_family.bracken_num	22b_family.bracken_frac	25_family.bracken_num	25_family.bracken_frac	2621_family.bracken_num	2621_family.bracken_frac	27_family.bracken_num	27_family.bracken_frac	Stan_family.bracken_num	Stan_family.bracken_frac
Endozoicomonadaceae	2066474	F	205	0.00001	522	0.00002	162	0.00001	322	0.00001	34	0.00000	55	0.00001	124	0.00001	84	0.00001	155	0.00001	122	0.00001	57	0.00001
Oleiphilaceae	191033	F	59	0.00000	157	0.00001	72	0.00000	56	0.00000	15	0.00000	36	0.00000	104	0.00001	116	0.00001	108	0.00001	89	0.00001	23	0.00000
Litoricolaceae	449732	F	30	0.00000	121	0.00001	85	0.00000	64	0.00000	62	0.00001	65	0.00001	161	0.00001	20	0.00000	38	0.00000	19	0.00000	33	0.00000
Xanthomonadaceae	32033	F	4445	0.00018	23377	0.00108	7889	0.00037	10617	0.00031	2542	0.00029	1744	0.00021	4419	0.00022	3220	0.00022	7534	0.00051	5238	0.00040	3433	0.00034
Rhodanobacteraceae	1775411	F	433	0.00002	3920	0.00018	1193	0.00006	1205	0.00004	339	0.00004	240	0.00003	639	0.00003	363	0.00002	1077	0.00007	790	0.00006	549	0.00005
Pasteurellaceae	712	F	5907	0.00024	12368	0.00057	4317	0.00020	23589	0.00069	2011	0.00023	3623	0.00043	8841	0.00043	4989	0.00034	8776	0.00059	4211	0.00033	3790	0.00037
Aeromonadaceae	84642	F	3081	0.00012	11281	0.00052	6077	0.00028	5798	0.00017	1631	0.00019	1198	0.00014	2726	0.00013	2507	0.00017	4503	0.00030	2594	0.00020	1993	0.00020
Succinivibrionaceae	83763	F	409	0.00002	448	0.00002	287	0.00001	426	0.00001	121	0.00001	267	0.00003	645	0.00003	438	0.00003	429	0.00003	306	0.00002	201	0.00002
Chromatiaceae	1046	F	1189	0.00005	3445	0.00016	1178	0.00005	2381	0.00007	676	0.00008	425	0.00005	1048	0.00005	963	0.00006	1515	0.00010	911	0.00007	762	0.00008
Ectothiorhodospiraceae	72276	F	893	0.00004	5639	0.00026	1904	0.00009	2734	0.00008	686	0.00008	482	0.00006	1161	0.00006	732	0.00005	2108	0.00014	1320	0.00010	903	0.00009
Granulosicoccaceae	449719	F	237	0.00001	432	0.00002	181	0.00001	271	0.00001	45	0.00001	164	0.00002	404	0.00002	175	0.00001	255	0.00002	151	0.00001	86	0.00001
Halothiobacillaceae	255526	F	226	0.00001	454	0.00002	167	0.00001	299	0.00001	79	0.00001	49	0.00001	128	0.00001	122	0.00001	173	0.00001	186	0.00001	72	0.00001
Wenzhouxiangellaceae	1676141	F	69	0.00000	1028	0.00005	164	0.00001	115	0.00000	43	0.00000	73	0.00001	91	0.00000	65	0.00000	380	0.00003	239	0.00002	72	0.00001
Thioalkalispiraceae	1096778	F	69	0.00000	729	0.00003	165	0.00001	173	0.00001	46	0.00001	55	0.00001	131	0.00001	159	0.00001	186	0.00001	77	0.00001	62	0.00001
Thioalkalibacteraceae	2035710	F	57	0.00000	287	0.00001	124	0.00001	92	0.00000	53	0.00001	45	0.00001	149	0.00001	67	0.00000	151	0.00001	81	0.00001	66	0.00001
Woeseiaceae	1738654	F	48	0.00000	158	0.00001	215	0.00001	51	0.00000	13	0.00000	16	0.00000	50	0.00000	50	0.00000	75	0.00001	51	0.00000	36	0.00000
Microbulbiferaceae	1706373	F	881	0.00004	3572	0.00016	1173	0.00005	1627	0.00005	397	0.00005	376	0.00004	906	0.00004	822	0.00006	1326	0.00009	706	0.00005	512	0.00005
Cellvibrionaceae	1706371	F	612	0.00002	1856	0.00009	559	0.00003	965	0.00003	233	0.00003	206	0.00002	491	0.00002	456	0.00003	579	0.00004	352	0.00003	319	0.00003
Halieaceae	1706372	F	529	0.00002	1330	0.00006	456	0.00002	878	0.00003	221	0.00003	201	0.00002	450	0.00002	413	0.00003	578	0.00004	479	0.00004	273	0.00003
Spongiibacteraceae	1706375	F	178	0.00001	335	0.00002	124	0.00001	173	0.00001	34	0.00000	87	0.00001	151	0.00001	306	0.00002	177	0.00001	188	0.00001	72	0.00001
Legionellaceae	444	F	1670	0.00007	2434	0.00011	1020	0.00005	1380	0.00004	610	0.00007	447	0.00005	1061	0.00005	1068	0.00007	1147	0.00008	866	0.00007	699	0.00007
Coxiellaceae	118968	F	426	0.00002	2598	0.00012	772	0.00004	1137	0.00003	79	0.00001	172	0.00002	399	0.00002	204	0.00001	1102	0.00007	775	0.00006	509	0.00005
Piscirickettsiaceae	135616	F	911	0.00004	2247	0.00010	789	0.00004	1383	0.00004	504	0.00006	490	0.00006	1208	0.00006	815	0.00005	1087	0.00007	627	0.00005	482	0.00005
Francisellaceae	34064	F	703	0.00003	2095	0.00010	412	0.00002	881	0.00003	242	0.00003	321	0.00004	759	0.00004	549	0.00004	633	0.00004	844	0.00007	399	0.00004
Thiotrichaceae	135617	F	172	0.00001	210	0.00001	106	0.00000	180	0.00001	46	0.00001	65	0.00001	136	0.00001	106	0.00001	167	0.00001	57	0.00000	85	0.00001
Methylococcaceae	403	F	1732	0.00007	4138	0.00019	1286	0.00006	2232	0.00007	722	0.00008	630	0.00007	1609	0.00008	1535	0.00010	1622	0.00011	1254	0.00010	819	0.00008
Steroidobacteraceae	2689614	F	518	0.00002	199	0.00001	285	0.00001	268	0.00001	102	0.00001	34	0.00000	87	0.00000	165	0.00001	68	0.00000	47	0.00000	68	0.00001
Sinobacteraceae	568386	F	270	0.00001	769	0.00004	199	0.00001	303	0.00001	65	0.00001	39	0.00000	102	0.00000	107	0.00001	220	0.00001	220	0.00002	143	0.00001
Orbaceae	1240483	F	281	0.00001	441	0.00002	332	0.00002	401	0.00001	81	0.00001	111	0.00001	278	0.00001	379	0.00003	269	0.00002	176	0.00001	102	0.00001
Acidiferrobacteraceae	1692041	F	252	0.00001	1894	0.00009	414	0.00002	491	0.00001	135	0.00002	104	0.00001	218	0.00001	178	0.00001	478	0.00003	217	0.00002	187	0.00002
Cardiobacteriaceae	868	F	88	0.00000	1267	0.00006	172	0.00001	259	0.00001	54	0.00001	31	0.00000	157	0.00001	201	0.00001	287	0.00002	209	0.00002	101	0.00001
Immundisolibacteraceae	1934946	F	64	0.00000	360	0.00002	151	0.00001	86	0.00000	50	0.00001	50	0.00001	61	0.00000	33	0.00000	91	0.00001	80	0.00001	97	0.00001
Salinisphaeraceae	742031	F	57	0.00000	287	0.00001	66	0.00000	74	0.00000	60	0.00001	14	0.00000	32	0.00000	67	0.00000	89	0.00001	63	0.00000	43	0.00000
Campylobacteraceae	72294	F	74319	0.00301	24511	0.00113	24855	0.00116	49691	0.00146	20816	0.00237	21345	0.00251	47997	0.00234	25220	0.00170	43195	0.00292	12158	0.00094	8407	0.00083
Helicobacteraceae	72293	F	1259	0.00005	2094	0.00010	722	0.00003	1536	0.00004	459	0.00005	604	0.00007	1375	0.00007	886	0.00006	992	0.00007	990	0.00008	532	0.00005
Thiovulaceae	2771471	F	1177	0.00005	2131	0.00010	709	0.00003	1846	0.00005	492	0.00006	648	0.00008	1639	0.00008	1087	0.00007	1230	0.00008	724	0.00006	551	0.00005
Sulfurovaceae	2771472	F	390	0.00002	1010	0.00005	473	0.00002	527	0.00002	130	0.00001	122	0.00001	344	0.00002	263	0.00002	378	0.00003	231	0.00002	220	0.00002
Nautiliaceae	224467	F	747	0.00003	878	0.00004	414	0.00002	842	0.00002	260	0.00003	328	0.00004	745	0.00004	554	0.00004	617	0.00004	381	0.00003	318	0.00003
Desulfovibrionaceae	194924	F	11653	0.00047	439911	0.02030	42387	0.00198	18986	0.00056	3221	0.00037	1994	0.00023	4682	0.00023	5998	0.00040	67194	0.00454	71585	0.00553	12186	0.00120
Desulfomicrobiaceae	213116	F	520	0.00002	2537	0.00012	647	0.00003	907	0.00003	253	0.00003	176	0.00002	473	0.00002	367	0.00002	635	0.00004	434	0.00003	287	0.00003
Desulfohalobiaceae	213117	F	66	0.00000	583	0.00003	204	0.00001	105	0.00000	24	0.00000	50	0.00001	129	0.00001	56	0.00000	76	0.00001	100	0.00001	86	0.00001
Desulfobacteraceae	213119	F	2091	0.00008	6843	0.00032	2041	0.00010	3096	0.00009	945	0.00011	776	0.00009	1959	0.00010	1641	0.00011	2739	0.00018	1600	0.00012	1396	0.00014
Desulfobulbaceae	213121	F	1406	0.00006	4252	0.00020	1453	0.00007	2586	0.00008	656	0.00007	526	0.00006	1372	0.00007	1436	0.00010	1695	0.00011	1259	0.00010	810	0.00008
Geobacteraceae	213422	F	2323	0.00009	12349	0.00057	3699	0.00017	4918	0.00014	1367	0.00016	1067	0.00013	2692	0.00013	2167	0.00015	3900	0.00026	2607	0.00020	1867	0.00018
Desulfuromonadaceae	213421	F	973	0.00004	5596	0.00026	1294	0.00006	2105	0.00006	460	0.00005	454	0.00005	998	0.00005	807	0.00005	1588	0.00011	979	0.00008	756	0.00007
Myxococcaceae	31	F	706	0.00003	5520	0.00025	1436	0.00007	1523	0.00004	486	0.00006	225	0.00003	521	0.00003	386	0.00003	1166	0.00008	904	0.00007	582	0.00006
Archangiaceae	39	F	406	0.00002	3520	0.00016	968	0.00005	1545	0.00005	403	0.00005	209	0.00002	503	0.00002	351	0.00002	1162	0.00008	901	0.00007	527	0.00005
Anaeromyxobacteraceae	1524215	F	349	0.00001	3238	0.00015	900	0.00004	1330	0.00004	316	0.00004	163	0.00002	508	0.00002	199	0.00001	856	0.00006	653	0.00005	348	0.00003
Vulgatibacteraceae	1524213	F	162	0.00001	565	0.00003	293	0.00001	256	0.00001	97	0.00001	55	0.00001	136	0.00001	111	0.00001	155	0.00001	148	0.00001	75	0.00001
Polyangiaceae	49	F	629	0.00003	3765	0.00017	1179	0.00005	1477	0.00004	482	0.00005	332	0.00004	779	0.00004	482	0.00003	1088	0.00007	981	0.00008	701	0.00007
Sandaracinaceae	1055686	F	66	0.00000	1408	0.00006	475	0.00002	161	0.00000	37	0.00000	52	0.00001	109	0.00001	63	0.00000	133	0.00001	347	0.00003	86	0.00001
